model_a,model_b,n01,n10,n00,n11,statistic,p_value,significant_at_0.05,significant_at_0.01
KNN,SVM,0,3,2,46,1.3333333333333333,0.24821307898992362,False,False
KNN,MLP,0,3,2,46,1.3333333333333333,0.24821307898992362,False,False
KNN,LightGBM,1,4,1,45,0.8,0.37109336952269756,False,False
SVM,MLP,1,1,1,48,0.5,0.47950012218695337,False,False
SVM,LightGBM,1,1,1,48,0.5,0.47950012218695337,False,False
MLP,LightGBM,1,1,1,48,0.5,0.47950012218695337,False,False
