Model,Corr_Threshold,Cum_Threshold,Num_Features,Accuracy,Accuracy_CI_Lower,Accuracy_CI_Upper,F1_Macro,F1_Macro_CI_Lower,F1_Macro_CI_Upper,F1_Weighted,F1_Weighted_CI_Lower,F1_Weighted_CI_Upper,Precision_Macro,Precision_Macro_CI_Lower,Precision_Macro_CI_Upper,Recall_Macro,Recall_Macro_CI_Lower,Recall_Macro_CI_Upper,CV_F1_Mean,CV_F1_Std,CV_F1_Best_Fold,Best_Params
KNN,1.00,0.8,55,0.9411764705882353,0.8627450980392157,1.0,0.9414495357891584,0.8622626864977152,1.0,0.9415552384475803,0.8646338574066756,1.0,0.9427350427350428,0.8686705767350928,1.0,0.9450056116722784,0.86475,1.0,0.910291378254765,0.06156381564891564,1.0,"{'n_neighbors': 7, 'metric': 'euclidean', 'p': 3, 'weights': 'exp_dist'}"
SVM,1.00,0.8,55,0.9607843137254902,0.9019607843137255,1.0,0.9594356261022927,0.8896089038092084,1.0,0.9606805685237058,0.8996955059820515,1.0,0.9638447971781305,0.9011470588235295,1.0,0.957351290684624,0.8809312064746847,1.0,0.9033473933473936,0.07856979293863163,1.0,"{'kernel': 'rbf', 'C': 3.9341763521104034, 'class_weight': None, 'gamma_choice': 'log_val', 'gamma': 0.04206441578685959}"
MLP,1.00,0.8,55,0.9607843137254902,0.9019607843137255,1.0,0.9594356261022927,0.8896089038092084,1.0,0.9606805685237058,0.8996955059820515,1.0,0.9638447971781305,0.9011470588235295,1.0,0.957351290684624,0.8809312064746847,1.0,0.8993940236388749,0.07495283323208103,1.0,"{'hidden_layer_sizes_key': '100', 'solver': 'lbfgs', 'lr_schedule': 'invscale', 'activation': 'tanh', 'alpha': 0.06689479219017082, 'max_iter': 1000}"
LightGBM,1.00,0.8,55,0.9215686274509803,0.8431372549019608,0.9803921568627451,0.9153439153439153,0.8058512410461436,0.9818440218968741,0.9205311754331362,0.8368206090978896,0.980719068588899,0.9181657848324515,0.8194391650422354,0.989247311827957,0.9147025813692481,0.8097695514987604,0.988515325670498,0.9410594668489406,0.06464986399485716,1.0,"{'n_estimators': 1074, 'learning_rate': 0.05022825541424651, 'num_leaves': 10, 'max_depth': 5, 'subsample': 0.6228141820446826, 'colsample_bytree': 0.9398780485920909, 'reg_alpha': 0.08853572341086735, 'reg_lambda': 0.8771163412667523, 'min_child_samples': 43, 'min_data_in_leaf': 24, 'feature_fraction': 0.6576798554619075, 'bagging_fraction': 0.917228765614119, 'bagging_freq': 9}"
