model_a,model_b,n01,n10,n00,n11,statistic,p_value,significant_at_0.05,significant_at_0.01
KNN,SVM,1,2,2,46,0.0,1.0,False,False
KNN,MLP,3,2,2,44,0.0,1.0,False,False
KNN,LightGBM,1,1,3,46,0.5,0.47950012218695337,False,False
SVM,MLP,2,0,3,46,0.5,0.47950012218695337,False,False
SVM,LightGBM,2,1,2,46,0.0,1.0,False,False
MLP,LightGBM,2,3,2,44,0.0,1.0,False,False
