model_a,model_b,n01,n10,n00,n11,statistic,p_value,significant_at_0.05,significant_at_0.01
KNN,SVM,1,1,2,47,0.5,0.47950012218695337,False,False
KNN,MLP,1,1,2,47,0.5,0.47950012218695337,False,False
KNN,LightGBM,1,0,3,47,0.0,1.0,False,False
SVM,MLP,0,0,3,48,0.0,1.0,False,False
SVM,LightGBM,2,1,2,46,0.0,1.0,False,False
MLP,LightGBM,2,1,2,46,0.0,1.0,False,False
