Model,Corr_Threshold,Cum_Threshold,Num_Features,Accuracy,Accuracy_CI_Lower,Accuracy_CI_Upper,F1_Macro,F1_Macro_CI_Lower,F1_Macro_CI_Upper,F1_Weighted,F1_Weighted_CI_Lower,F1_Weighted_CI_Upper,Precision_Macro,Precision_Macro_CI_Lower,Precision_Macro_CI_Upper,Recall_Macro,Recall_Macro_CI_Lower,Recall_Macro_CI_Upper,CV_F1_Mean,CV_F1_Std,CV_F1_Best_Fold,Best_Params
KNN,NoCorr,0.9,74,0.9215686274509803,0.8431372549019608,0.9803921568627451,0.9112132182307621,0.8019207327512413,0.9828696128372943,0.9186883330330182,0.8233440834989234,0.980676428562852,0.9417077175697864,0.8708301767676767,0.98989898989899,0.8967452300785634,0.7825261158594491,0.9892780337941628,0.909389849069483,0.08639363661112962,1.0,"{'n_neighbors': 5, 'metric': 'manhattan', 'p': 2, 'weights': 'distance'}"
SVM,NoCorr,0.9,74,0.9607843137254902,0.9019607843137255,1.0,0.9594356261022927,0.8883995985898159,1.0,0.9606805685237058,0.8994815472237618,1.0,0.9638447971781305,0.9042962962962963,1.0,0.957351290684624,0.882173645320197,1.0,0.9263375543009411,0.07932208526188932,1.0,"{'kernel': 'rbf', 'C': 5.12899518701254, 'class_weight': None, 'gamma_choice': 'log_val', 'gamma': 0.010526620847136854}"
MLP,NoCorr,0.9,74,0.9411764705882353,0.8627450980392157,1.0,0.9414495357891584,0.8629650284356166,1.0,0.9415552384475803,0.8645726368804223,1.0,0.9427350427350428,0.8690476190476191,1.0,0.9450056116722784,0.8676753712237585,1.0,0.8999802371541502,0.06825007256383736,1.0,"{'hidden_layer_sizes_key': '50', 'solver': 'lbfgs', 'lr_schedule': 'invscale', 'activation': 'relu', 'alpha': 0.9910986920395314, 'max_iter': 1000}"
LightGBM,NoCorr,0.9,74,0.9411764705882353,0.8627450980392157,1.0,0.9384833661563222,0.8542946346646535,1.0,0.9409846398377659,0.8676069053352335,1.0,0.9330669330669331,0.8425883838383839,1.0,0.9450056116722784,0.8648955627705628,1.0,0.9362157920052658,0.052933846644985245,1.0,"{'n_estimators': 1091, 'learning_rate': 0.0966942681917137, 'num_leaves': 9, 'max_depth': 6, 'subsample': 0.6475831531171535, 'colsample_bytree': 0.9673346704654435, 'reg_alpha': 0.47787493312739615, 'reg_lambda': 0.5237811444816423, 'min_child_samples': 43, 'min_data_in_leaf': 16, 'feature_fraction': 0.9928378494974501, 'bagging_fraction': 0.8361840318408451, 'bagging_freq': 7}"
