Model,Corr_Threshold,Cum_Threshold,Num_Features,Accuracy,Accuracy_CI_Lower,Accuracy_CI_Upper,F1_Macro,F1_Macro_CI_Lower,F1_Macro_CI_Upper,F1_Weighted,F1_Weighted_CI_Lower,F1_Weighted_CI_Upper,Precision_Macro,Precision_Macro_CI_Lower,Precision_Macro_CI_Upper,Recall_Macro,Recall_Macro_CI_Lower,Recall_Macro_CI_Upper,CV_F1_Mean,CV_F1_Std,CV_F1_Best_Fold,Best_Params
KNN,0.75,0.8,24,0.9019607843137255,0.803921568627451,0.9803921568627451,0.8843404808317089,0.7671728786342125,0.973602271097118,0.896189274930245,0.7870918625163315,0.9799767821103805,0.9317460317460317,0.8592474001094691,0.9881150793650794,0.866442199775533,0.760345643939394,0.9629629629629629,0.899013507468885,0.06970197430678499,1.0,"{'n_neighbors': 7, 'metric': 'manhattan', 'p': 2.5, 'weights': 'exp_dist'}"
SVM,0.75,0.8,24,0.9215686274509803,0.8431372549019608,0.9803921568627451,0.9181657848324515,0.8114963624338624,0.9824924458257792,0.9210084033613445,0.8385758104411355,0.9805921415960934,0.9308641975308642,0.8567101514469936,0.9885057471264368,0.9147025813692481,0.8118100358422939,0.9885057471264368,0.9178432123855467,0.0742421873555771,1.0,"{'kernel': 'rbf', 'C': 6.3213337251018045, 'class_weight': None, 'gamma_choice': 'log_val', 'gamma': 0.019096638372186638}"
MLP,0.75,0.8,24,0.9019607843137255,0.803921568627451,0.9803921568627451,0.8932558669400774,0.7830990829346093,0.9774878732832564,0.8996086472866659,0.7997488748778452,0.9800788541831826,0.9198412698412698,0.8382638888888889,0.9814939939939941,0.8843995510662177,0.7799999999999999,0.980406162464986,0.8980094399201951,0.06791820712439806,1.0,"{'hidden_layer_sizes_key': '50', 'solver': 'lbfgs', 'lr_schedule': 'invscale', 'activation': 'tanh', 'alpha': 0.10702519794672603, 'max_iter': 1000}"
LightGBM,0.75,0.8,24,0.9607843137254902,0.9019607843137255,1.0,0.9547619047619048,0.8637129292223387,1.0,0.9595238095238094,0.8915522577142084,1.0,0.9770114942528735,0.9404761904761904,1.0,0.9393939393939394,0.8333333333333334,1.0,0.954380775170249,0.043121211011456426,1.0,"{'n_estimators': 1085, 'learning_rate': 0.33677059478983135, 'num_leaves': 10, 'max_depth': 5, 'subsample': 0.5456604037432384, 'colsample_bytree': 0.9048119702011311, 'reg_alpha': 0.38110506931879184, 'reg_lambda': 0.4310269146057627, 'min_child_samples': 43, 'min_data_in_leaf': 20, 'feature_fraction': 0.5564649150863678, 'bagging_fraction': 0.8690897178213715, 'bagging_freq': 6}"
