Model,Corr_Threshold,Cum_Threshold,Num_Features,Accuracy,Accuracy_CI_Lower,Accuracy_CI_Upper,F1_Macro,F1_Macro_CI_Lower,F1_Macro_CI_Upper,F1_Weighted,F1_Weighted_CI_Lower,F1_Weighted_CI_Upper,Precision_Macro,Precision_Macro_CI_Lower,Precision_Macro_CI_Upper,Recall_Macro,Recall_Macro_CI_Lower,Recall_Macro_CI_Upper,CV_F1_Mean,CV_F1_Std,CV_F1_Best_Fold,Best_Params
KNN,NoCorr,0.95,87,0.9607843137254902,0.9019607843137255,1.0,0.9594356261022927,0.8896089038092084,1.0,0.9606805685237058,0.8996955059820515,1.0,0.9638447971781305,0.9011470588235295,1.0,0.957351290684624,0.8809312064746847,1.0,0.9104639110359936,0.07505101118022771,1.0,"{'n_neighbors': 9, 'metric': 'euclidean', 'p': 1.5, 'weights': 'exp_dist'}"
SVM,NoCorr,0.95,87,0.9411764705882353,0.8627450980392157,1.0,0.9384833661563222,0.8522981670259097,1.0,0.9409846398377659,0.8635085112014933,1.0,0.9330669330669331,0.838952205882353,1.0,0.9450056116722784,0.865875348310693,1.0,0.9194887896038793,0.05633743850927641,1.0,"{'kernel': 'rbf', 'C': 4.73687891175275, 'class_weight': 'balanced', 'gamma_choice': 'log_val', 'gamma': 0.03531042372677563}"
MLP,NoCorr,0.95,87,0.9607843137254902,0.9019607843137255,1.0,0.9594356261022927,0.8896089038092084,1.0,0.9606805685237058,0.8996955059820515,1.0,0.9638447971781305,0.9011470588235295,1.0,0.957351290684624,0.8809312064746847,1.0,0.9282394696582339,0.0551963287435913,1.0,"{'hidden_layer_sizes_key': '200', 'solver': 'lbfgs', 'lr_schedule': 'invscale', 'activation': 'relu', 'alpha': 0.010678314175099008, 'max_iter': 500}"
LightGBM,NoCorr,0.95,87,0.9607843137254902,0.9019607843137255,1.0,0.9594356261022927,0.8896089038092084,1.0,0.9606805685237058,0.8996955059820515,1.0,0.9638447971781305,0.9011470588235295,1.0,0.957351290684624,0.8809312064746847,1.0,0.9411364269259007,0.05658174914852167,1.0,"{'n_estimators': 1100, 'learning_rate': 0.1545640793861098, 'num_leaves': 10, 'max_depth': 7, 'subsample': 0.5547782328283666, 'colsample_bytree': 0.9397774766427837, 'reg_alpha': 0.06041453274056077, 'reg_lambda': 0.839737912201979, 'min_child_samples': 47, 'min_data_in_leaf': 19, 'feature_fraction': 0.5450802195535094, 'bagging_fraction': 0.8784223999293017, 'bagging_freq': 10}"
