model_a,model_b,n01,n10,n00,n11,statistic,p_value,significant_at_0.05,significant_at_0.01
KNN,SVM,2,4,2,43,0.16666666666666666,0.6830913983096086,False,False
KNN,MLP,2,4,2,43,0.16666666666666666,0.6830913983096086,False,False
KNN,LightGBM,1,4,2,44,0.8,0.37109336952269756,False,False
SVM,MLP,2,2,2,45,0.25,0.6170750774519739,False,False
SVM,LightGBM,1,2,2,46,0.0,1.0,False,False
MLP,LightGBM,1,2,2,46,0.0,1.0,False,False
