Model,Corr_Threshold,Cum_Threshold,Num_Features,Accuracy,Accuracy_CI_Lower,Accuracy_CI_Upper,F1_Macro,F1_Macro_CI_Lower,F1_Macro_CI_Upper,F1_Weighted,F1_Weighted_CI_Lower,F1_Weighted_CI_Upper,Precision_Macro,Precision_Macro_CI_Lower,Precision_Macro_CI_Upper,Recall_Macro,Recall_Macro_CI_Lower,Recall_Macro_CI_Upper,CV_F1_Mean,CV_F1_Std,CV_F1_Best_Fold,Best_Params
KNN,0.85,0.95,56,0.9607843137254902,0.9019607843137255,1.0,0.957351290684624,0.8839285714285715,1.0,0.9607843137254902,0.9004288945949389,1.0,0.957351290684624,0.8835416666666667,1.0,0.957351290684624,0.8796160130718954,1.0,0.9216073503380005,0.0675144267288935,1.0,"{'n_neighbors': 2, 'metric': 'cosine', 'p': 2.5, 'weights': 'distance'}"
SVM,0.85,0.95,56,0.9411764705882353,0.8627450980392157,1.0,0.9361391694725029,0.8551955492554453,1.0,0.9401135538390439,0.8634260950259025,1.0,0.9523809523809524,0.8888793103448276,1.0,0.9270482603815937,0.8363419913419914,1.0,0.9299435457330194,0.04027287355993841,1.0,"{'kernel': 'rbf', 'C': 2.168062052410958, 'class_weight': None, 'gamma_choice': 'log_val', 'gamma': 0.015724938366290107}"
MLP,0.85,0.95,56,0.9411764705882353,0.8627450980392157,1.0,0.9361391694725029,0.8551955492554453,1.0,0.9401135538390439,0.8634260950259025,1.0,0.9523809523809524,0.8888793103448276,1.0,0.9270482603815937,0.8363419913419914,1.0,0.9269238038002341,0.04138189113495841,1.0,"{'hidden_layer_sizes_key': '150', 'solver': 'lbfgs', 'lr_schedule': 'invscale', 'activation': 'relu', 'alpha': 0.023564162288731202, 'max_iter': 1000}"
LightGBM,0.85,0.95,56,0.9215686274509803,0.8431372549019608,0.9803921568627451,0.9202464202464203,0.8262610454809943,0.9836775922490207,0.9214608920491274,0.8412306954867509,0.9806743551442423,0.9119191919191919,0.8143866550116551,0.9871794871794872,0.9326599326599326,0.8518412698412697,0.9888888888888889,0.9340295279768964,0.04768180762498719,1.0,"{'n_estimators': 1075, 'learning_rate': 0.23423583777335766, 'num_leaves': 9, 'max_depth': 6, 'subsample': 0.6311816151710687, 'colsample_bytree': 0.9501005326203984, 'reg_alpha': 0.39037299940888354, 'reg_lambda': 0.4121300804621962, 'min_child_samples': 33, 'min_data_in_leaf': 17, 'feature_fraction': 0.8794074202998075, 'bagging_fraction': 0.9998984520806086, 'bagging_freq': 9}"
