Model,Corr_Threshold,Cum_Threshold,Num_Features,Accuracy,Accuracy_CI_Lower,Accuracy_CI_Upper,F1_Macro,F1_Macro_CI_Lower,F1_Macro_CI_Upper,F1_Weighted,F1_Weighted_CI_Lower,F1_Weighted_CI_Upper,Precision_Macro,Precision_Macro_CI_Lower,Precision_Macro_CI_Upper,Recall_Macro,Recall_Macro_CI_Lower,Recall_Macro_CI_Upper,CV_F1_Mean,CV_F1_Std,CV_F1_Best_Fold,Best_Params
KNN,0.80,0.8,26,0.9215686274509803,0.8431372549019608,0.9803921568627451,0.9202464202464203,0.8262610454809943,0.9836775922490207,0.9214608920491274,0.8412306954867509,0.9806743551442423,0.9119191919191919,0.8143866550116551,0.9871794871794872,0.9326599326599326,0.8518412698412697,0.9888888888888889,0.891387969329146,0.05940224479693647,1.0,"{'n_neighbors': 5, 'metric': 'cosine', 'p': 3, 'weights': 'inv_dist'}"
SVM,0.80,0.8,26,0.9607843137254902,0.9019607843137255,1.0,0.9594356261022927,0.8896089038092084,1.0,0.9606805685237058,0.8996955059820515,1.0,0.9638447971781305,0.9011470588235295,1.0,0.957351290684624,0.8809312064746847,1.0,0.9164708971001877,0.0584457334445852,1.0,"{'kernel': 'rbf', 'C': 9.207242524430123, 'class_weight': None, 'gamma_choice': 'log_val', 'gamma': 0.021745765885543576}"
MLP,0.80,0.8,26,0.9411764705882353,0.8627450980392157,1.0,0.9414495357891584,0.8622626864977152,1.0,0.9415552384475803,0.8646338574066756,1.0,0.9427350427350428,0.8686705767350928,1.0,0.9450056116722784,0.86475,1.0,0.8931699709731747,0.07688135284770414,1.0,"{'hidden_layer_sizes_key': '75', 'solver': 'lbfgs', 'lr_schedule': 'invscale', 'activation': 'tanh', 'alpha': 0.41220124827603033, 'max_iter': 1000}"
LightGBM,0.80,0.8,26,0.9607843137254902,0.9019607843137255,1.0,0.957351290684624,0.8891808924827792,1.0,0.9607843137254902,0.9010328777975837,1.0,0.957351290684624,0.8800587496239671,1.0,0.957351290684624,0.8859098124098124,1.0,0.9378918805577845,0.053924731042176946,1.0,"{'n_estimators': 1084, 'learning_rate': 0.5670451580594471, 'num_leaves': 10, 'max_depth': 5, 'subsample': 0.5508656734531014, 'colsample_bytree': 0.9625997924826468, 'reg_alpha': 0.05066945040125774, 'reg_lambda': 0.5583951812731116, 'min_child_samples': 34, 'min_data_in_leaf': 22, 'feature_fraction': 0.742652829902158, 'bagging_fraction': 0.7807989842480076, 'bagging_freq': 10}"
