model_a,model_b,n01,n10,n00,n11,statistic,p_value,significant_at_0.05,significant_at_0.01
KNN,SVM,0,1,2,48,0.0,1.0,False,False
KNN,MLP,0,1,2,48,0.0,1.0,False,False
KNN,LightGBM,0,1,2,48,0.0,1.0,False,False
SVM,MLP,0,0,2,49,0.0,1.0,False,False
SVM,LightGBM,0,0,2,49,0.0,1.0,False,False
MLP,LightGBM,0,0,2,49,0.0,1.0,False,False
