model_a,model_b,n01,n10,n00,n11,statistic,p_value,significant_at_0.05,significant_at_0.01
KNN,SVM,3,3,2,43,0.16666666666666666,0.6830913983096086,False,False
KNN,MLP,0,4,1,46,2.25,0.13361440253771584,False,False
KNN,LightGBM,0,2,3,46,0.5,0.47950012218695337,False,False
SVM,MLP,0,4,1,46,2.25,0.13361440253771584,False,False
SVM,LightGBM,1,3,2,45,0.25,0.6170750774519739,False,False
MLP,LightGBM,2,0,1,48,0.5,0.47950012218695337,False,False
