Variable,Avg_Rank,Avg_SHAP_Importance,Std_Rank,Std_SHAP_Importance
Fz,1.0,0.5112311370109345,0.0,0.4577992067004757
Tx,2.75,0.17358452409507252,0.5,0.0446456613473795
Ty,3.0,0.1697379130945941,1.4142135623730951,0.020447731407857602
Fx,4.25,0.1924704537104135,1.5,0.1353346001792358
Tz,4.5,0.15152938618065018,1.0,0.023423017114921115
Fy,5.5,0.1143707061394367,1.0,0.06051588714402317
