Model,Variable,Rank,SHAP_Importance_Overall,Scenario,SHAP_collision,SHAP_normal,SHAP_obstruction
KNN,Fz,1,0.33352941176470596,Scenario1_Raw_Data,0.33352941176470596,0.33352941176470596,0.33352941176470596
KNN,Tx,2,0.17892156862745098,Scenario1_Raw_Data,0.17892156862745098,0.17892156862745098,0.17892156862745098
KNN,Ty,3,0.1518627450980392,Scenario1_Raw_Data,0.1518627450980392,0.1518627450980392,0.1518627450980392
KNN,Tz,4,0.14931372549019606,Scenario1_Raw_Data,0.14931372549019606,0.14931372549019606,0.14931372549019606
KNN,Fx,5,0.13892156862745092,Scenario1_Raw_Data,0.13892156862745092,0.13892156862745092,0.13892156862745092
KNN,Fy,6,0.10235294117647058,Scenario1_Raw_Data,0.10235294117647058,0.10235294117647058,0.10235294117647058
SVM,Fz,1,0.20735294117647066,Scenario1_Raw_Data,0.20735294117647066,0.20735294117647066,0.20735294117647066
SVM,Ty,2,0.15235294117647058,Scenario1_Raw_Data,0.15235294117647058,0.15235294117647058,0.15235294117647058
SVM,Tx,3,0.13715686274509803,Scenario1_Raw_Data,0.13715686274509803,0.13715686274509803,0.13715686274509803
SVM,Tz,4,0.13156862745098039,Scenario1_Raw_Data,0.13156862745098039,0.13156862745098039,0.13156862745098039
SVM,Fx,5,0.10323529411764705,Scenario1_Raw_Data,0.10323529411764705,0.10323529411764705,0.10323529411764705
SVM,Fy,6,0.07382352941176472,Scenario1_Raw_Data,0.07382352941176472,0.07382352941176472,0.07382352941176472
MLP,Fz,1,0.31107843137254904,Scenario1_Raw_Data,0.31107843137254904,0.31107843137254904,0.31107843137254904
MLP,Ty,2,0.1897058823529412,Scenario1_Raw_Data,0.1897058823529412,0.1897058823529412,0.1897058823529412
MLP,Tx,3,0.14362745098039215,Scenario1_Raw_Data,0.14362745098039215,0.14362745098039215,0.14362745098039215
MLP,Tz,4,0.14029411764705882,Scenario1_Raw_Data,0.14029411764705882,0.14029411764705882,0.14029411764705882
MLP,Fx,5,0.1336274509803922,Scenario1_Raw_Data,0.1336274509803922,0.1336274509803922,0.1336274509803922
MLP,Fy,6,0.07813725490196077,Scenario1_Raw_Data,0.07813725490196077,0.07813725490196077,0.07813725490196077
LightGBM,Fz,1,1.1929637637300123,Scenario1_Raw_Data,0.6868100903023994,1.0692513639294825,1.8228298369581553
LightGBM,Fx,2,0.3940975011161638,Scenario1_Raw_Data,0.3262314577191204,0.6781776845013522,0.17788336112801922
LightGBM,Tx,3,0.23463221402734896,Scenario1_Raw_Data,0.26103964026526977,0.29848249707581337,0.14437450474096342
LightGBM,Fy,4,0.2031690990675508,Scenario1_Raw_Data,0.10277102200851478,0.37177525543646667,0.13496101975767089
LightGBM,Ty,5,0.18503008375092542,Scenario1_Raw_Data,0.3762303210332342,0.1728599226292003,0.006000007590341801
LightGBM,Tz,6,0.18494107413436545,Scenario1_Raw_Data,0.4427253681696898,0.011292430824712726,0.10080542340869368
