Model,Corr_Threshold,Cum_Threshold,Num_Features,Accuracy,Accuracy_CI_Lower,Accuracy_CI_Upper,F1_Macro,F1_Macro_CI_Lower,F1_Macro_CI_Upper,F1_Weighted,F1_Weighted_CI_Lower,F1_Weighted_CI_Upper,Precision_Macro,Precision_Macro_CI_Lower,Precision_Macro_CI_Upper,Recall_Macro,Recall_Macro_CI_Lower,Recall_Macro_CI_Upper,CV_F1_Mean,CV_F1_Std,CV_F1_Best_Fold,Best_Params
KNN,0.75,0.85,28,0.9019607843137255,0.803921568627451,0.9803921568627451,0.8843404808317089,0.7671728786342125,0.973602271097118,0.896189274930245,0.7870918625163315,0.9799767821103805,0.9317460317460317,0.8592474001094691,0.9881150793650794,0.866442199775533,0.760345643939394,0.9629629629629629,0.9122124815603077,0.07157918803087061,1.0,"{'n_neighbors': 9, 'metric': 'manhattan', 'p': 2.5, 'weights': 'exp_dist'}"
SVM,0.75,0.85,28,0.9411764705882353,0.8627450980392157,1.0,0.9361391694725029,0.8457923454469507,1.0,0.9401135538390439,0.8596537975459544,1.0,0.9523809523809524,0.8853966346153846,1.0,0.9270482603815937,0.8337962962962963,1.0,0.9215736145370015,0.04746586435919822,1.0,"{'kernel': 'rbf', 'C': 1.806723700474621, 'class_weight': None, 'gamma_choice': 'log_val', 'gamma': 0.026255110394391483}"
MLP,0.75,0.85,28,0.9019607843137255,0.803921568627451,0.9803921568627451,0.8993265993265993,0.7953783524904214,0.9794884336401813,0.9019805902158842,0.8102029028563555,0.9802628209378571,0.9166666666666666,0.8378492647058824,0.985522342995169,0.8890615557282224,0.7739642857142858,0.9791666666666666,0.9137521504683976,0.06133668918911587,1.0,"{'hidden_layer_sizes_key': '75_100', 'solver': 'lbfgs', 'lr_schedule': 'invscale', 'activation': 'tanh', 'alpha': 0.0038767454172621767, 'max_iter': 500}"
LightGBM,0.75,0.85,28,0.9803921568627451,0.9411764705882353,1.0,0.978066378066378,0.9223063879639907,1.0,0.9801035565741447,0.9375877181290353,1.0,0.9880952380952381,0.9583333333333334,1.0,0.9696969696969697,0.9,1.0,0.9482900983244233,0.04565536359521508,1.0,"{'n_estimators': 1072, 'learning_rate': 0.38820165954488556, 'num_leaves': 10, 'max_depth': 5, 'subsample': 0.5293977621349306, 'colsample_bytree': 0.9609493470207495, 'reg_alpha': 0.07488634013051795, 'reg_lambda': 0.6597134197660965, 'min_child_samples': 35, 'min_data_in_leaf': 25, 'feature_fraction': 0.550390396473826, 'bagging_fraction': 0.874595614745533, 'bagging_freq': 9}"
