model_a,model_b,n01,n10,n00,n11,statistic,p_value,significant_at_0.05,significant_at_0.01
KNN,SVM,3,1,0,47,0.25,0.6170750774519739,False,False
KNN,MLP,5,1,0,45,1.5,0.22067136191984704,False,False
KNN,LightGBM,2,0,1,48,0.5,0.47950012218695337,False,False
SVM,MLP,2,0,3,46,0.5,0.47950012218695337,False,False
SVM,LightGBM,1,1,2,47,0.5,0.47950012218695337,False,False
MLP,LightGBM,1,3,2,45,0.25,0.6170750774519739,False,False
