Corr_Threshold,Cum_Threshold,Combo_Label,Model,Num_Features,Accuracy,Accuracy_CI_Lower,Accuracy_CI_Upper,F1_Macro,F1_Macro_CI_Lower,F1_Macro_CI_Upper,F1_Weighted,F1_Weighted_CI_Lower,F1_Weighted_CI_Upper,Precision_Macro,Precision_Macro_CI_Lower,Precision_Macro_CI_Upper,Recall_Macro,Recall_Macro_CI_Lower,Recall_Macro_CI_Upper,CV_F1_Mean,CV_F1_Std,CV_F1_Best_Fold
0.95,0.950000,Corr95_Cum95,KNN,72,0.941176,0.862745,1.000000,0.938483,0.858352,1.000000,0.940985,0.864519,1.000000,0.933067,0.846289,1.000000,0.945006,0.869039,1.000000,0.921122,0.051181,1.000000
0.95,0.950000,Corr95_Cum95,SVM,72,0.941176,0.862745,1.000000,0.935789,0.846029,1.000000,0.940372,0.860641,1.000000,0.966667,0.924731,1.000000,0.913753,0.809524,1.000000,0.933032,0.056650,1.000000
0.95,0.950000,Corr95_Cum95,MLP,72,0.901961,0.803922,0.980392,0.895602,0.788172,0.973007,0.901399,0.805449,0.980192,0.889943,0.777769,0.976190,0.902357,0.807101,0.978495,0.923455,0.050655,1.000000
0.95,0.950000,Corr95_Cum95,LightGBM,72,0.960784,0.901961,1.000000,0.959436,0.889609,1.000000,0.960681,0.899696,1.000000,0.963845,0.901147,1.000000,0.957351,0.880931,1.000000,0.935316,0.074415,1.000000
0.95,1.000000,Corr95_Cum100,KNN,123,0.921569,0.843137,0.980392,0.914703,0.808841,0.980131,0.921569,0.832670,0.980777,0.914703,0.816707,0.988095,0.914703,0.808563,0.988506,0.923856,0.040610,1.000000
0.95,1.000000,Corr95_Cum100,SVM,123,0.960784,0.901961,1.000000,0.954762,0.881973,1.000000,0.959524,0.895592,1.000000,0.977011,0.942029,1.000000,0.939394,0.857143,1.000000,0.922381,0.053175,1.000000
0.95,1.000000,Corr95_Cum100,MLP,123,0.960784,0.901961,1.000000,0.959436,0.889609,1.000000,0.960681,0.899696,1.000000,0.963845,0.901147,1.000000,0.957351,0.880931,1.000000,0.906542,0.046293,1.000000
0.95,1.000000,Corr95_Cum100,LightGBM,123,0.960784,0.901961,1.000000,0.959436,0.889609,1.000000,0.960681,0.899696,1.000000,0.963845,0.901147,1.000000,0.957351,0.880931,1.000000,0.942302,0.037686,1.000000
1.00,0.800000,Corr100_Cum80,KNN,55,0.941176,0.862745,1.000000,0.941450,0.862263,1.000000,0.941555,0.864634,1.000000,0.942735,0.868671,1.000000,0.945006,0.864750,1.000000,0.910291,0.061564,1.000000
1.00,0.800000,Corr100_Cum80,SVM,55,0.960784,0.901961,1.000000,0.959436,0.889609,1.000000,0.960681,0.899696,1.000000,0.963845,0.901147,1.000000,0.957351,0.880931,1.000000,0.903347,0.078570,1.000000
1.00,0.800000,Corr100_Cum80,MLP,55,0.960784,0.901961,1.000000,0.959436,0.889609,1.000000,0.960681,0.899696,1.000000,0.963845,0.901147,1.000000,0.957351,0.880931,1.000000,0.899394,0.074953,1.000000
1.00,0.800000,Corr100_Cum80,LightGBM,55,0.921569,0.843137,0.980392,0.915344,0.805851,0.981844,0.920531,0.836821,0.980719,0.918166,0.819439,0.989247,0.914703,0.809770,0.988515,0.941059,0.064650,1.000000
1.00,0.850000,Corr100_Cum85,KNN,63,0.941176,0.862745,1.000000,0.936139,0.839240,1.000000,0.940114,0.857535,1.000000,0.952381,0.886173,1.000000,0.927048,0.822121,1.000000,0.907676,0.063485,1.000000
1.00,0.850000,Corr100_Cum85,SVM,63,0.980392,0.941176,1.000000,0.978066,0.922306,1.000000,0.980104,0.937588,1.000000,0.988095,0.958333,1.000000,0.969697,0.900000,1.000000,0.900485,0.079137,1.000000
1.00,0.850000,Corr100_Cum85,MLP,63,0.960784,0.901961,1.000000,0.959436,0.889609,1.000000,0.960681,0.899696,1.000000,0.963845,0.901147,1.000000,0.957351,0.880931,1.000000,0.894338,0.066483,1.000000
1.00,0.850000,Corr100_Cum85,LightGBM,63,0.941176,0.862745,1.000000,0.938483,0.858352,1.000000,0.940985,0.864519,1.000000,0.933067,0.846289,1.000000,0.945006,0.869039,1.000000,0.947006,0.047227,1.000000
1.00,0.900000,Corr100_Cum90,KNN,72,0.941176,0.862745,1.000000,0.936139,0.839240,1.000000,0.940114,0.857535,1.000000,0.952381,0.886173,1.000000,0.927048,0.822121,1.000000,0.906641,0.079342,1.000000
1.00,0.900000,Corr100_Cum90,SVM,72,0.941176,0.862745,1.000000,0.941450,0.862965,1.000000,0.941555,0.864573,1.000000,0.942735,0.869048,1.000000,0.945006,0.867675,1.000000,0.920033,0.076488,1.000000
