Corr_Threshold,Cum_Threshold,Combo_Label,Model,Num_Features,Accuracy,Accuracy_CI_Lower,Accuracy_CI_Upper,F1_Macro,F1_Macro_CI_Lower,F1_Macro_CI_Upper,F1_Weighted,F1_Weighted_CI_Lower,F1_Weighted_CI_Upper,Precision_Macro,Precision_Macro_CI_Lower,Precision_Macro_CI_Upper,Recall_Macro,Recall_Macro_CI_Lower,Recall_Macro_CI_Upper,CV_F1_Mean,CV_F1_Std,CV_F1_Best_Fold
0.75,0.850000,Corr75_Cum85,MLP,28,0.901961,0.803922,0.980392,0.899327,0.795378,0.979488,0.901981,0.810203,0.980263,0.916667,0.837849,0.985522,0.889062,0.773964,0.979167,0.913752,0.061337,1.000000
0.75,0.850000,Corr75_Cum85,LightGBM,28,0.980392,0.941176,1.000000,0.978066,0.922306,1.000000,0.980104,0.937588,1.000000,0.988095,0.958333,1.000000,0.969697,0.900000,1.000000,0.948290,0.045655,1.000000
0.75,0.900000,Corr75_Cum90,KNN,33,0.941176,0.862745,1.000000,0.936139,0.844903,1.000000,0.940114,0.859292,1.000000,0.952381,0.885851,1.000000,0.927048,0.828277,1.000000,0.913620,0.075408,1.000000
0.75,0.900000,Corr75_Cum90,SVM,33,0.941176,0.862745,1.000000,0.938483,0.852298,1.000000,0.940985,0.863509,1.000000,0.933067,0.838952,1.000000,0.945006,0.865875,1.000000,0.926033,0.071382,1.000000
0.75,0.900000,Corr75_Cum90,MLP,33,0.901961,0.823529,0.980392,0.893256,0.789927,0.975937,0.899609,0.810839,0.980049,0.919841,0.840728,0.982456,0.884400,0.785648,0.974359,0.922356,0.042619,1.000000
0.75,0.900000,Corr75_Cum90,LightGBM,33,0.960784,0.901961,1.000000,0.959436,0.889609,1.000000,0.960681,0.899696,1.000000,0.963845,0.901147,1.000000,0.957351,0.880931,1.000000,0.939143,0.044299,1.000000
0.75,0.950000,Corr75_Cum95,KNN,41,0.941176,0.862745,1.000000,0.934199,0.842881,1.000000,0.940311,0.860949,1.000000,0.942857,0.854693,1.000000,0.927048,0.824655,1.000000,0.919834,0.056176,1.000000
0.75,0.950000,Corr75_Cum95,SVM,41,0.941176,0.862745,1.000000,0.936139,0.855196,1.000000,0.940114,0.863426,1.000000,0.952381,0.888879,1.000000,0.927048,0.836342,1.000000,0.939334,0.044803,1.000000
0.75,0.950000,Corr75_Cum95,MLP,41,0.921569,0.843137,0.980392,0.911213,0.817511,0.982543,0.918688,0.834377,0.980577,0.941708,0.874995,0.990483,0.896745,0.803899,0.988115,0.939150,0.039592,1.000000
0.75,0.950000,Corr75_Cum95,LightGBM,41,0.941176,0.862745,1.000000,0.936139,0.839240,1.000000,0.940114,0.857535,1.000000,0.952381,0.886173,1.000000,0.927048,0.822121,1.000000,0.938653,0.058450,1.000000
0.75,1.000000,Corr75_Cum100,KNN,76,0.901961,0.803922,0.980392,0.890332,0.785018,0.972491,0.900518,0.807858,0.980001,0.897619,0.788166,0.980392,0.884400,0.777778,0.976211,0.946628,0.038336,1.000000
0.75,1.000000,Corr75_Cum100,SVM,76,0.960784,0.901961,1.000000,0.954762,0.881973,1.000000,0.959524,0.895592,1.000000,0.977011,0.942029,1.000000,0.939394,0.857143,1.000000,0.921590,0.056739,1.000000
0.75,1.000000,Corr75_Cum100,MLP,76,0.960784,0.901961,1.000000,0.957351,0.889181,1.000000,0.960784,0.901033,1.000000,0.957351,0.880059,1.000000,0.957351,0.885910,1.000000,0.930195,0.060423,1.000000
0.75,1.000000,Corr75_Cum100,LightGBM,76,0.960784,0.901961,1.000000,0.959436,0.889609,1.000000,0.960681,0.899696,1.000000,0.963845,0.901147,1.000000,0.957351,0.880931,1.000000,0.938664,0.045898,1.000000
0.80,0.800000,Corr80_Cum80,KNN,26,0.921569,0.843137,0.980392,0.920246,0.826261,0.983678,0.921461,0.841231,0.980674,0.911919,0.814387,0.987179,0.932660,0.851841,0.988889,0.891388,0.059402,1.000000
0.80,0.800000,Corr80_Cum80,SVM,26,0.960784,0.901961,1.000000,0.959436,0.889609,1.000000,0.960681,0.899696,1.000000,0.963845,0.901147,1.000000,0.957351,0.880931,1.000000,0.916471,0.058446,1.000000
0.80,0.800000,Corr80_Cum80,MLP,26,0.941176,0.862745,1.000000,0.941450,0.862263,1.000000,0.941555,0.864634,1.000000,0.942735,0.868671,1.000000,0.945006,0.864750,1.000000,0.893170,0.076881,1.000000
0.80,0.800000,Corr80_Cum80,LightGBM,26,0.960784,0.901961,1.000000,0.957351,0.889181,1.000000,0.960784,0.901033,1.000000,0.957351,0.880059,1.000000,0.957351,0.885910,1.000000,0.937892,0.053925,1.000000
0.80,0.850000,Corr80_Cum85,KNN,31,0.901961,0.803922,0.980392,0.902534,0.805199,0.979447,0.902120,0.814804,0.980480,0.893308,0.794965,0.979167,0.920314,0.836305,0.986667,0.913467,0.052720,1.000000
0.80,0.850000,Corr80_Cum85,SVM,31,0.941176,0.862745,1.000000,0.941450,0.862965,1.000000,0.941555,0.864573,1.000000,0.942735,0.869048,1.000000,0.945006,0.867675,1.000000,0.927301,0.061983,1.000000
0.80,0.850000,Corr80_Cum85,MLP,31,0.882353,0.784314,0.960784,0.882011,0.771598,0.965448,0.883193,0.788848,0.961078,0.896296,0.809499,0.968759,0.876716,0.761357,0.972222,0.914041,0.049244,1.000000
0.80,0.850000,Corr80_Cum85,LightGBM,31,0.941176,0.862745,1.000000,0.936139,0.839240,1.000000,0.940114,0.857535,1.000000,0.952381,0.886173,1.000000,0.927048,0.822121,1.000000,0.938812,0.053995,1.000000
0.80,0.900000,Corr80_Cum90,KNN,37,0.921569,0.843137,0.980392,0.911213,0.797030,0.982008,0.918688,0.830580,0.980564,0.941708,0.872190,0.989906,0.896745,0.783321,0.988889,0.899984,0.044848,0.953824
0.80,0.900000,Corr80_Cum90,SVM,37,0.941176,0.862745,1.000000,0.936139,0.855196,1.000000,0.940114,0.863426,1.000000,0.952381,0.888879,1.000000,0.927048,0.836342,1.000000,0.938887,0.029842,1.000000
0.80,0.900000,Corr80_Cum90,MLP,37,0.941176,0.862745,1.000000,0.936139,0.846046,1.000000,0.940114,0.859212,1.000000,0.952381,0.885707,1.000000,0.927048,0.833333,1.000000,0.937082,0.033783,1.000000
0.80,0.900000,Corr80_Cum90,LightGBM,37,0.941176,0.862745,1.000000,0.938483,0.858352,1.000000,0.940985,0.864519,1.000000,0.933067,0.846289,1.000000,0.945006,0.869039,1.000000,0.938523,0.039947,1.000000
0.80,0.950000,Corr80_Cum95,KNN,46,0.980392,0.941176,1.000000,0.979218,0.929110,1.000000,0.980633,0.942339,1.000000,0.972222,0.909091,1.000000,0.987654,0.960000,1.000000,0.926090,0.060989,1.000000
0.80,0.950000,Corr80_Cum95,SVM,46,0.941176,0.862745,1.000000,0.936139,0.855196,1.000000,0.940114,0.863426,1.000000,0.952381,0.888879,1.000000,0.927048,0.836342,1.000000,0.928418,0.032637,1.000000
0.80,0.950000,Corr80_Cum95,MLP,46,0.901961,0.823529,0.980392,0.897125,0.794401,0.977757,0.901036,0.819212,0.980192,0.896581,0.791919,0.977011,0.902357,0.809169,0.979167,0.933377,0.052849,1.000000
0.80,0.950000,Corr80_Cum95,LightGBM,46,0.941176,0.862745,1.000000,0.938483,0.858352,1.000000,0.940985,0.864519,1.000000,0.933067,0.846289,1.000000,0.945006,0.869039,1.000000,0.934194,0.050421,1.000000
0.80,1.000000,Corr80_Cum100,KNN,84,0.921569,0.843137,0.980392,0.914703,0.808841,0.980131,0.921569,0.832670,0.980777,0.914703,0.816707,0.988095,0.914703,0.808563,0.988506,0.933146,0.040839,1.000000
0.80,1.000000,Corr80_Cum100,SVM,84,0.960784,0.901961,1.000000,0.954762,0.881973,1.000000,0.959524,0.895592,1.000000,0.977011,0.942029,1.000000,0.939394,0.857143,1.000000,0.933696,0.032277,1.000000
0.80,1.000000,Corr80_Cum100,MLP,84,0.921569,0.843137,0.980392,0.918535,0.825800,0.981853,0.921702,0.841316,0.980831,0.907302,0.809949,0.987191,0.932660,0.851797,0.989583,0.927426,0.057047,1.000000
0.80,1.000000,Corr80_Cum100,LightGBM,84,0.960784,0.901961,1.000000,0.959436,0.889609,1.000000,0.960681,0.899696,1.000000,0.963845,0.901147,1.000000,0.957351,0.880931,1.000000,0.952453,0.038569,1.000000
0.85,0.800000,Corr85_Cum80,KNN,34,0.882353,0.784314,0.960784,0.855132,0.717630,0.952274,0.872355,0.756902,0.960347,0.922427,0.844465,0.979813,0.836139,0.723315,0.935030,0.905974,0.102153,1.000000
0.85,0.800000,Corr85_Cum80,SVM,34,0.921569,0.843137,0.980392,0.924003,0.839687,0.983404,0.922636,0.844038,0.980629,0.924167,0.848200,0.986667,0.932660,0.850598,0.989247,0.926573,0.064461,1.000000
0.85,0.800000,Corr85_Cum80,MLP,34,0.921569,0.843137,0.980392,0.911213,0.817511,0.982543,0.918688,0.834377,0.980577,0.941708,0.874995,0.990483,0.896745,0.803899,0.988115,0.898009,0.067918,1.000000
0.85,0.800000,Corr85_Cum80,LightGBM,34,0.941176,0.862745,1.000000,0.938483,0.858352,1.000000,0.940985,0.864519,1.000000,0.933067,0.846289,1.000000,0.945006,0.869039,1.000000,0.948879,0.034721,1.000000
0.85,0.850000,Corr85_Cum85,KNN,39,0.901961,0.823039,0.980392,0.892488,0.768059,0.977007,0.899897,0.803002,0.980143,0.929915,0.857024,0.987654,0.871104,0.744802,0.974359,0.903937,0.073041,0.953824
0.85,0.850000,Corr85_Cum85,SVM,39,0.960784,0.901961,1.000000,0.959436,0.889609,1.000000,0.960681,0.899696,1.000000,0.963845,0.901147,1.000000,0.957351,0.880931,1.000000,0.926454,0.067906,1.000000
0.85,0.850000,Corr85_Cum85,MLP,39,0.882353,0.783824,0.960784,0.882011,0.771963,0.961914,0.883193,0.778708,0.960784,0.896296,0.810843,0.970599,0.876716,0.761986,0.964693,0.903956,0.065187,1.000000
0.85,0.850000,Corr85_Cum85,LightGBM,39,0.921569,0.843137,0.980392,0.915344,0.805851,0.981844,0.920531,0.836821,0.980719,0.918166,0.819439,0.989247,0.914703,0.809770,0.988515,0.938532,0.045841,1.000000
0.85,0.900000,Corr85_Cum90,KNN,46,0.941176,0.862745,1.000000,0.938483,0.858352,1.000000,0.940985,0.864519,1.000000,0.933067,0.846289,1.000000,0.945006,0.869039,1.000000,0.901633,0.008463,0.915344
0.85,0.900000,Corr85_Cum90,SVM,46,0.941176,0.862745,1.000000,0.936139,0.855196,1.000000,0.940114,0.863426,1.000000,0.952381,0.888879,1.000000,0.927048,0.836342,1.000000,0.946417,0.041856,1.000000
0.85,0.900000,Corr85_Cum90,MLP,46,0.901961,0.823529,0.980392,0.893256,0.794898,0.971451,0.899609,0.812616,0.979698,0.919841,0.842736,0.980392,0.884400,0.787288,0.977011,0.919512,0.061382,1.000000
0.85,0.900000,Corr85_Cum90,LightGBM,46,0.921569,0.843137,0.980392,0.915344,0.805851,0.981844,0.920531,0.836821,0.980719,0.918166,0.819439,0.989247,0.914703,0.809770,0.988515,0.934038,0.052719,1.000000
0.85,0.950000,Corr85_Cum95,KNN,56,0.960784,0.901961,1.000000,0.957351,0.883929,1.000000,0.960784,0.900429,1.000000,0.957351,0.883542,1.000000,0.957351,0.879616,1.000000,0.921607,0.067514,1.000000
0.85,0.950000,Corr85_Cum95,SVM,56,0.941176,0.862745,1.000000,0.936139,0.855196,1.000000,0.940114,0.863426,1.000000,0.952381,0.888879,1.000000,0.927048,0.836342,1.000000,0.929944,0.040273,1.000000
0.85,0.950000,Corr85_Cum95,MLP,56,0.941176,0.862745,1.000000,0.936139,0.855196,1.000000,0.940114,0.863426,1.000000,0.952381,0.888879,1.000000,0.927048,0.836342,1.000000,0.926924,0.041382,1.000000
0.85,0.950000,Corr85_Cum95,LightGBM,56,0.921569,0.843137,0.980392,0.920246,0.826261,0.983678,0.921461,0.841231,0.980674,0.911919,0.814387,0.987179,0.932660,0.851841,0.988889,0.934030,0.047682,1.000000
0.85,1.000000,Corr85_Cum100,KNN,98,0.921569,0.843137,0.980392,0.914703,0.808841,0.980131,0.921569,0.832670,0.980777,0.914703,0.816707,0.988095,0.914703,0.808563,0.988506,0.949813,0.022410,1.000000
0.85,1.000000,Corr85_Cum100,SVM,98,0.960784,0.901961,1.000000,0.954762,0.881973,1.000000,0.959524,0.895592,1.000000,0.977011,0.942029,1.000000,0.939394,0.857143,1.000000,0.933135,0.046860,1.000000
0.85,1.000000,Corr85_Cum100,MLP,98,0.941176,0.862745,1.000000,0.936139,0.855196,1.000000,0.940114,0.863426,1.000000,0.952381,0.888879,1.000000,0.927048,0.836342,1.000000,0.925053,0.046151,1.000000
0.85,1.000000,Corr85_Cum100,LightGBM,98,0.941176,0.862745,1.000000,0.938483,0.858352,1.000000,0.940985,0.864519,1.000000,0.933067,0.846289,1.000000,0.945006,0.869039,1.000000,0.952824,0.038036,1.000000
0.90,0.800000,Corr90_Cum80,KNN,39,0.901961,0.803922,0.980392,0.884340,0.767173,0.973602,0.896189,0.787092,0.979977,0.931746,0.859247,0.988115,0.866442,0.760346,0.962963,0.909460,0.095500,1.000000
0.90,0.800000,Corr90_Cum80,SVM,39,0.980392,0.941176,1.000000,0.978066,0.922306,1.000000,0.980104,0.937588,1.000000,0.988095,0.958333,1.000000,0.969697,0.900000,1.000000,0.912916,0.085991,1.000000
0.90,0.800000,Corr90_Cum80,MLP,39,0.941176,0.862745,1.000000,0.941450,0.862263,1.000000,0.941555,0.864634,1.000000,0.942735,0.868671,1.000000,0.945006,0.864750,1.000000,0.893988,0.069511,1.000000
0.90,0.800000,Corr90_Cum80,LightGBM,39,0.960784,0.901961,1.000000,0.959436,0.889609,1.000000,0.960681,0.899696,1.000000,0.963845,0.901147,1.000000,0.957351,0.880931,1.000000,0.932856,0.080171,1.000000
0.90,0.850000,Corr90_Cum85,KNN,45,0.901961,0.803922,0.980392,0.884340,0.767173,0.973602,0.896189,0.787092,0.979977,0.931746,0.859247,0.988115,0.866442,0.760346,0.962963,0.893806,0.100096,1.000000
0.90,0.850000,Corr90_Cum85,SVM,45,0.960784,0.901961,1.000000,0.959436,0.889609,1.000000,0.960681,0.899696,1.000000,0.963845,0.901147,1.000000,0.957351,0.880931,1.000000,0.921467,0.048945,1.000000
0.90,0.850000,Corr90_Cum85,MLP,45,0.941176,0.862745,1.000000,0.936139,0.855196,1.000000,0.940114,0.863426,1.000000,0.952381,0.888879,1.000000,0.927048,0.836342,1.000000,0.899795,0.068547,1.000000
