model_a,model_b,n01,n10,n00,n11,statistic,p_value,significant_at_0.05,significant_at_0.01
KNN,SVM,3,0,2,46,1.3333333333333333,0.24821307898992362,False,False
KNN,MLP,3,1,1,46,0.25,0.6170750774519739,False,False
KNN,LightGBM,1,1,1,48,0.5,0.47950012218695337,False,False
SVM,MLP,1,2,3,45,0.0,1.0,False,False
SVM,LightGBM,0,3,2,46,1.3333333333333333,0.24821307898992362,False,False
MLP,LightGBM,0,2,2,47,0.5,0.47950012218695337,False,False
