Model,Corr_Threshold,Cum_Threshold,Num_Features,Accuracy,Accuracy_CI_Lower,Accuracy_CI_Upper,F1_Macro,F1_Macro_CI_Lower,F1_Macro_CI_Upper,F1_Weighted,F1_Weighted_CI_Lower,F1_Weighted_CI_Upper,Precision_Macro,Precision_Macro_CI_Lower,Precision_Macro_CI_Upper,Recall_Macro,Recall_Macro_CI_Lower,Recall_Macro_CI_Upper,CV_F1_Mean,CV_F1_Std,CV_F1_Best_Fold,Best_Params
KNN,0.80,0.85,31,0.9019607843137255,0.803921568627451,0.9803921568627451,0.9025344725141885,0.8051988845777545,0.9794466403162055,0.9021198743188958,0.8148039215686277,0.9804800351513154,0.8933080808080809,0.7949645262145263,0.9791666666666666,0.9203142536475869,0.8363047957477304,0.9866666666666667,0.9134671571978075,0.05271963457643773,1.0,"{'n_neighbors': 5, 'metric': 'cosine', 'p': 3, 'weights': 'inv_dist'}"
SVM,0.80,0.85,31,0.9411764705882353,0.8627450980392157,1.0,0.9414495357891584,0.8629650284356166,1.0,0.9415552384475803,0.8645726368804223,1.0,0.9427350427350428,0.8690476190476191,1.0,0.9450056116722784,0.8676753712237585,1.0,0.9273012173012173,0.06198297726966655,1.0,"{'kernel': 'rbf', 'C': 1.7081885420202156, 'class_weight': None, 'gamma_choice': 'log_val', 'gamma': 0.09692877532268264}"
MLP,0.80,0.85,31,0.8823529411764706,0.7843137254901961,0.9607843137254902,0.882010582010582,0.7715982286634461,0.9654476766513058,0.8831932773109242,0.7888482437684461,0.9610780297413082,0.8962962962962964,0.8094993894993896,0.9687593201754385,0.8767158767158767,0.7613573232323232,0.9722222222222222,0.9140411859519413,0.04924404736438492,1.0,"{'hidden_layer_sizes_key': '75', 'solver': 'lbfgs', 'lr_schedule': 'invscale', 'activation': 'tanh', 'alpha': 0.008512291729711779, 'max_iter': 1000}"
LightGBM,0.80,0.85,31,0.9411764705882353,0.8627450980392157,1.0,0.9361391694725029,0.8392402283706631,1.0,0.9401135538390439,0.8575347919218839,1.0,0.9523809523809524,0.8861727150537636,1.0,0.9270482603815937,0.8221212121212123,1.0,0.9388120553910028,0.05399528069826915,1.0,"{'n_estimators': 1080, 'learning_rate': 0.3724241956912506, 'num_leaves': 10, 'max_depth': 7, 'subsample': 0.5744955409131247, 'colsample_bytree': 0.9239739639467206, 'reg_alpha': 0.10107578644776535, 'reg_lambda': 0.5813584319189732, 'min_child_samples': 46, 'min_data_in_leaf': 24, 'feature_fraction': 0.549457089890957, 'bagging_fraction': 0.8802831852769558, 'bagging_freq': 9}"
