Model,Corr_Threshold,Cum_Threshold,Num_Features,Accuracy,Accuracy_CI_Lower,Accuracy_CI_Upper,F1_Macro,F1_Macro_CI_Lower,F1_Macro_CI_Upper,F1_Weighted,F1_Weighted_CI_Lower,F1_Weighted_CI_Upper,Precision_Macro,Precision_Macro_CI_Lower,Precision_Macro_CI_Upper,Recall_Macro,Recall_Macro_CI_Lower,Recall_Macro_CI_Upper,CV_F1_Mean,CV_F1_Std,CV_F1_Best_Fold,Best_Params
KNN,0.70,0.85,27,0.8823529411764706,0.7843137254901961,0.9607843137254902,0.8852525252525253,0.7754408340138563,0.966330371017871,0.8828758169934642,0.7838180898958048,0.9611543877354862,0.8767728435247616,0.7710099637681159,0.9649122807017544,0.9079685746352414,0.8178896011396011,0.9743589743589745,0.9082552735648711,0.04024602739377322,1.0,"{'n_neighbors': 5, 'metric': 'cosine', 'p': 3, 'weights': 'inv_dist'}"
SVM,0.70,0.85,27,0.9411764705882353,0.8823529411764706,1.0,0.9414495357891584,0.8621071603128055,1.0,0.9415552384475803,0.8779824970977332,1.0,0.9427350427350428,0.87215329473394,1.0,0.9450056116722784,0.8703680897646414,1.0,0.9282113788406695,0.03709724274768469,1.0,"{'kernel': 'rbf', 'C': 2.716164862317649, 'class_weight': None, 'gamma_choice': 'log_val', 'gamma': 0.010363385394959842}"
MLP,0.70,0.85,27,0.8627450980392157,0.7647058823529411,0.9416666666666662,0.8625140291806958,0.7499818511796734,0.9488282886468371,0.8638476265927246,0.7608986036101786,0.944096316834798,0.8809523809523809,0.7928282828282829,0.9629002463054187,0.8510748510748511,0.7350373931623931,0.9569656385281385,0.9146747142170485,0.0526136819506681,1.0,"{'hidden_layer_sizes_key': '50', 'solver': 'lbfgs', 'lr_schedule': 'invscale', 'activation': 'tanh', 'alpha': 0.01375250104252617, 'max_iter': 500}"
LightGBM,0.70,0.85,27,0.9411764705882353,0.8627450980392157,1.0,0.9384833661563222,0.8583517360672533,1.0,0.9409846398377659,0.8645188064994643,1.0,0.9330669330669331,0.846289009015991,1.0,0.9450056116722784,0.8690393772893773,1.0,0.9325502436372002,0.05933707595807424,1.0,"{'n_estimators': 1055, 'learning_rate': 0.4359127559280153, 'num_leaves': 10, 'max_depth': 5, 'subsample': 0.5016974040224101, 'colsample_bytree': 0.9397632464554626, 'reg_alpha': 0.5055273056879085, 'reg_lambda': 0.7163433061183898, 'min_child_samples': 43, 'min_data_in_leaf': 29, 'feature_fraction': 0.8236438481230481, 'bagging_fraction': 0.9716975433042173, 'bagging_freq': 8}"
