model_a,model_b,n01,n10,n00,n11,statistic,p_value,significant_at_0.05,significant_at_0.01
KNN,SVM,4,4,2,41,0.125,0.7236736098317629,False,False
KNN,MLP,1,3,3,44,0.25,0.6170750774519739,False,False
KNN,LightGBM,3,3,3,42,0.16666666666666666,0.6830913983096086,False,False
SVM,MLP,2,4,2,43,0.16666666666666666,0.6830913983096086,False,False
SVM,LightGBM,4,4,2,41,0.125,0.7236736098317629,False,False
MLP,LightGBM,4,2,2,43,0.16666666666666666,0.6830913983096086,False,False
